солдат, 158, 0,05417%
хотя, 158, 0,05417%
голову, 157, 0,05383%
Они, 155, 0,05314%
назад, 155, 0,05314%
Наполеон, 153, 0,05246%
могу, 153, 0,05246%
тех, 153, 0,05246%
казалось, 152, 0,05212%
тебе, 152, 0,05212%
хотел, 151, 0,05177%
государя, 150, 0,05143%
много, 150, 0,05143%
чтоб, 150, 0,05143%
нем, 149, 0,05109%
вместе, 148, 0,05074%
этих, 148, 0,05074%
тот, 147, 0,0504%
Княжна, 146, 0,05006%
говорили, 146, 0,05006%
Василий, 145, 0,04972%
чего, 144, 0,04937%
Денисов, 143, 0,04903%
голос, 143, 0,04903%
лица, 142, 0,04869%
нас, 139, 0,04766%
глазами, 136, 0,04663%
графа, 136, 0,04663%
руки, 136, 0,04663%
письмо, 135, 0,04629%
лошадь, 134, 0,04594%
офицер, 134, 0,04594%
ж, 133, 0,0456%
сделать, 133, 0,0456%
смотрел, 133, 0,0456%
Ты, 131, 0,04492%
чувствовал, 130, 0,04457%
войска, 129, 0,04423%
глядя, 129, 0,04423%
одно, 129, 0,04423%
этим, 129, 0,04423%
Андрею, 128, 0,04389%
Ах, 128, 0,04389%
дома, 128, 0,04389%
отца, 126, 0,0432%
люди, 125, 0,04286%
вышел, 124, 0,04251%
тебя, 124, 0,04251%
Когда, 123, 0,04217%
Бурьен, 122, 0,04183%
видеть, 121, 0,04149%
подошел, 121, 0,04149%
Ежели, 119, 0,0408%
кроме, 119, 0,0408%
одна, 119, 0,0408%
прямо, 119, 0,0408%
армии, 118, 0,04046%
графиня, 118, 0,04046%
жизнь, 118, 0,04046%
эта, 118, 0,04046%
генерал, 117, 0,04011%
должен, 117, 0,04011%
лице, 117, 0,04011%
нельзя, 117, 0,04011%
приехал, 117, 0,04011%
одного, 116, 0,03977%
стоял, 116, 0,03977%
можно, 115, 0,03943%
здесь, 114, 0,03909%
лошади, 114, 0,03909%
подумал, 114, 0,03909%
тогда, 114, 0,03909%
чувство, 113, 0,03874%
двух, 112, 0,0384%
продолжал, 112, 0,0384%
совсем, 112, 0,0384%
такой, 112, 0,0384%
которым, 111, 0,03806%
своем, 111, 0,03806%
таким, 111, 0,03806%
Павловна, 110, 0,03771%
всю, 110, 0,03771%
пошел, 110, 0,03771%
те, 110, 0,03771%
Анатоль, 109, 0,03737%
одной, 109, 0,03737%
весь, 108, 0,03703%
государь, 108, 0,03703%
лучше, 108, 0,03703%
Элен, 107, 0,03669%
весело, 107, 0,03669%
свой, 107, 0,03669%
ту, 107, 0,03669%
ваше, 106, 0,03634%
разговор, 106, 0,03634%
совершенно, 106, 0,03634%
кого, 105, 0,036%
обратился, 105, 0,036%
друга, 103, 0,03531%
комнату, 103, 0,03531%
отец, 103, 0,03531%
Алпатыч, 102, 0,03497%
видно, 102, 0,03497%
знает, 102, 0,03497%
могла, 102, 0,03497%
собой, 102, 0,03497%
говорит, 101, 0,03463%
первый, 101, 0,03463%
против, 101, 0,03463%
Ростова, 100, 0,03429%
делать, 100, 0,03429%
никто, 100, 0,03429%
сделал, 100, 0,03429%
С, 99, 0,03394%
вошел, 98, 0,0336%
дела, 98, 0,0336%
моя, 98, 0,0336%
скоро, 98, 0,0336%
такое, 98, 0,0336%
У, 97, 0,03326%
давно, 97, 0,03326%
другие, 97, 0,03326%
мадемуазель, 97, 0,03326%
времени, 96, 0,03291%
дня, 95, 0,03257%
долго, 95, 0,03257%
императора, 95, 0,03257%
начал, 95, 0,03257%
своему, 95, 0,03257%
сидел, 95, 0,03257%
той, 95, 0,03257%
уж, 95, 0,03257%
поехал, 94, 0,03223%
Москве, 93, 0,03189%
Наполеона, 93, 0,03189%
милый, 93, 0,03189%
своими, 93, 0,03189%
всей, 92, 0,03154%
головой, 92, 0,03154%
комнате, 92, 0,03154%
три, 92, 0,03154%
других, 91, 0,0312%
место, 91, 0,0312%
старый, 91, 0,0312%
Только, 90, 0,03086%
впереди, 90, 0,03086%
Кутузова, 89, 0,03051%
Михайловна, 89, 0,03051%
знаете, 89, 0,03051%
какой, 89, 0,03051%
слишком, 89, 0,03051%
Ему, 87, 0,02983%
закричал, 87, 0,02983%
лицом, 87, 0,02983%
молодой, 87, 0,02983%
невольно, 87, 0,02983%
остановился, 87, 0,02983%
французов, 87, 0,02983%
Николая, 86, 0,02949%
выражение, 86, 0,02949%
знать, 86, 0,02949%
тотчас, 86, 0,02949%
ехать, 85, 0,02914%
имел, 85, 0,02914%
стояли, 85, 0,02914%
увидал, 85, 0,02914%
взял, 84, 0,0288%
должно, 84, 0,0288%
слово, 84, 0,0288%
улыбнулся, 84, 0,0288%
Пьера, 83, 0,02846%
двери, 83, 0,02846%
думала, 83, 0,02846%
мысли, 83, 0,02846%
руками, 83, 0,02846%
видом, 82, 0,02811%
вся, 82, 0,02811%
голосом, 82, 0,02811%
княгиня, 82, 0,02811%
проговорил, 82, 0,02811%
стали, 82, 0,02811%
стороны, 82, 0,02811%
точно, 81, 0,02777%
две, 80, 0,02743%
крикнул, 80, 0,02743%
почти, 80, 0,02743%
сражения, 80, 0,02743%
Багратион, 79, 0,02709%
княжны, 79, 0,02709%
куда, 79, 0,02709%
молча, 79, 0,02709%
нам, 79, 0,02709%
около, 79, 0,02709%
сейчас, 79, 0,02709%
Болконский, 78, 0,02674%
О, 78, 0,02674%
глаз, 78, 0,02674%
знала, 78, 0,02674%
мимо, 78, 0,02674%
После, 77, 0,0264%
голоса, 77, 0,0264%
часто, 77, 0,0264%
этому, 77, 0,0264%
доме, 76, 0,02606%
нынче, 76, 0,02606%
сына, 76, 0,02606%
тысяч, 76, 0,02606%
Наташи, 75, 0,02571%
мысль, 75, 0,02571%
понять, 75, 0,02571%
Мы, 74, 0,02537%
вид, 74, 0,02537%
дать, 74, 0,02537%
лет, 74, 0,02537%
люблю, 74, 0,02537%
пор, 74, 0,02537%
радостно, 74, 0,02537%
рукой, 74, 0,02537%
та, 74, 0,02537%
государю, 73, 0,02503%
думаю, 73, 0,02503%
комнаты, 73, 0,02503%
ноги, 73, 0,02503%
солдаты, 73, 0,02503%
любви, 72, 0,02469%
минуты, 72, 0,02469%
могли, 72, 0,02469%
оно, 72, 0,02469%
стала, 72, 0,02469%
тяжело, 72, 0,02469%
Долохова, 71, 0,02434%
гостиной, 71, 0,02434%
дверь, 71, 0,02434%
дороге, 71, 0,02434%
кажется, 71, 0,02434%
таки, 71, 0,02434%
Теперь, 70, 0,024%
года, 70, 0,024%
каждый, 70, 0,024%
ко, 70, 0,024%
кричал, 70, 0,024%
свете, 70, 0,024%
Берг, 69, 0,02366%
Наташу, 69, 0,02366%
зачем, 69, 0,02366%
посмотрел, 69, 0,02366%
самого, 69, 0,02366%
Москву, 68, 0,02331%
быстро, 68, 0,02331%
думать, 68, 0,02331%
какое, 68, 0,02331%
офицера, 68, 0,02331%
понял, 68, 0,02331%
слышал, 68, 0,02331%
счастье, 68, 0,02331%
сын, 68, 0,02331%
завтра, 67, 0,02297%
наконец, 67, 0,02297%
очевидно, 67, 0,02297%
положение, 67, 0,02297%
прибавил, 67, 0,02297%
просто, 67, 0,02297%
сзади, 67, 0,02297%
такие, 67, 0,02297%
Анны, 66, 0,02263%
Мне, 66, 0,02263%
Пьеру, 66, 0,02263%
заметил, 66, 0,02263%
стало, 66, 0,02263%
Его, 65, 0,02229%
встал, 65, 0,02229%
делал, 65, 0,02229%
дом, 65, 0,02229%
командир, 65, 0,02229%
понимаю, 65, 0,02229%
рад, 65, 0,02229%
сел, 65, 0,02229%
т, 65, 0,02229%
Бориса, 64, 0,02194%
Граф, 64, 0,02194%
Еще, 64, 0,02194%
Петербурге, 64, 0,02194%
Петя, 64, 0,02194%
го, 64, 0,02194%
другое, 64, 0,02194%
зная, 64, 0,02194%
ну, 64, 0,02194%
подле, 64, 0,02194%
полк, 64, 0,02194%
шел, 64, 0,02194%
ясно, 64, 0,02194%
Несвицкий, 63, 0,0216%
По, 63, 0,0216%
буду, 63, 0,0216%
взгляд, 63, 0,0216%
дальше, 63, 0,0216%
желая, 63, 0,0216%
матери, 63, 0,0216%
ними, 63, 0,0216%
ночь, 63, 0,0216%
оттого, 63, 0,0216%
Ростовых, 62, 0,02126%
глазах, 62, 0,02126%
говоря, 62, 0,02126%
душе, 62, 0,02126%
столь, 62, 0,02126%
Наташе, 61, 0,02091%
России, 61, 0,02091%
адъютант, 61, 0,02091%
всеми, 61, 0,02091%
главное, 61, 0,02091%
другом, 61, 0,02091%
сидела, 61, 0,02091%
слезы, 61, 0,02091%
тихо, 61, 0,02091%
узнал, 61, 0,02091%
французы, 61, 0,02091%
Денисова, 60, 0,02057%
брат, 60, 0,02057%
вокруг, 60, 0,02057%
выражением, 60, 0,02057%
деле, 60, 0,02057%
мало, 60, 0,02057%
нашел, 60, 0,02057%
обращаясь, 60, 0,02057%
пять, 60, 0,02057%
равно, 60, 0,02057%
Из, 59, 0,02023%
Один, 59, 0,02023%
ехал, 59, 0,02023%
которому, 59, 0,02023%
силы, 59, 0,02023%
сиятельство, 59, 0,02023%
Государь, 58, 0,01989%
вечер, 58, 0,01989%
войны, 58, 0,01989%
действительно, 58, 0,01989%
император, 58, 0,01989%
нею, 58, 0,01989%
оглянулся, 58, 0,01989%
почувствовал, 58, 0,01989%
сердито, 58, 0,01989%
Василия, 57, 0,01954%
Москвы, 57, 0,01954%
Потом, 57, 0,01954%
весьма, 57, 0,01954%
вышла, 57, 0,01954%
знаешь, 57, 0,01954%
поспешно, 57, 0,01954%
слушал, 57, 0,01954%
указывая, 57, 0,01954%
штаб, 57, 0,01954%
Бог, 56, 0,0192%
Жюли, 56, 0,0192%
За, 56, 0,0192%
бывает, 56, 0,0192%
войск, 56, 0,0192%
говорят, 56, 0,0192%
звуки, 56, 0,0192%
каким, 56, 0,0192%
места, 56, 0,0192%
могло, 56, 0,0192%
наши, 56, 0,0192%
обеда, 56, 0,0192%
положении, 56, 0,0192%
русские, 56, 0,0192%
русских, 56, 0,0192%
самый, 56, 0,0192%
